MES,Periodo Analisis,M1,M2,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP12,CP13,CP16,CP19,HRD1,HRD2,Target,CP14,CP27,CP38,CP49,CP510,CP611,CP712,CP813,CP9,CP10,CP18,CP1914,CP20,CP21,CP22,CP23,CP24,CP25,CP26,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,MF16,MF17,MF18,MF19,MF20,MF21,MF22
Oct-19,2,58.17,41.83,65.552,0.373,0.004,3.358,0.011,1.136,0.941,0.525,0.283,0.332,88.961,6.029,3.81,94.69,12.7,1639.66,384.31,907.10,1091.12,178.86,91.96,270.82,0.410,101.522,4.106,95.420,0.651,0.780,3.002,0.111,0.009,0.000,0.002,1025.533,16%,0%,0%,0%,0%,0%,2%,0%,0%,0%,73%,0%,8%,81%,8%,0%,0%,0%,11%,0%,0%,0%
Ago-15,1,41.69,58.31,66.550,0.379,0.003,2.513,0.014,0.887,0.738,0.480,0.293,0.361,88.227,6.543,3.43,94.35,12.9,1615.33,392.33,913.79,1072.97,160.61,95.08,255.69,0.391,103.326,4.596,94.446,0.163,1.281,3.874,0.158,0.025,0.008,0.007,1034.127,0%,21%,12%,0%,0%,53%,13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,98%,0%,0%,0%,2%,0%
Mar-22,3,2.120,97.88,65.281,0.442,0.005,3.291,0.018,1.139,1.029,0.525,0.313,0.350,88.176,6.996,3.57,94.67,12.9,1690.15,388.15,913.90,1000.04,188.13,92.11,280.25,0.413,88.380,3.934,95.524,1.237,0.835,2.159,0.157,0.027,0.011,0.003,1014.822,0%,0%,0%,0%,0%,0%,0%,0%,3%,88%,0%,8%,0%,12%,0%,0%,0%,0%,75%,13%,0%,0%
Feb-22,3,4.250,95.75,65.035,0.486,0.005,3.675,0.020,1.185,1.114,0.576,0.305,0.351,88.344,6.691,3.66,94.32,13.0,1716.95,381.88,911.10,1000.03,188.90,93.16,282.06,0.405,93.818,3.984,95.555,1.130,0.931,2.146,0.154,0.026,0.011,0.003,1014.665,0%,0%,0%,0%,0%,0%,0%,0%,23%,31%,0%,46%,0%,4%,0%,0%,0%,0%,79%,17%,0%,0%
Mar-13,1,20.00,80.00,66.558,0.370,0.004,2.673,0.019,0.820,0.630,0.533,0.235,0.333,91.315,6.344,3.97,93.98,13.0,1629.86,376.60,910.91,1114.34,169.47,85.10,254.57,0.385,102.254,4.963,93.618,0.218,1.178,4.938,0.030,0.000,0.000,0.000,1039.090,0%,0%,76%,0%,17%,0%,0%,0%,0%,0%,0%,0%,6%,0%,0%,43%,0%,24%,0%,0%,33%,0%
Ene-22,3,0.460,99.54,65.064,0.436,0.005,3.647,0.022,1.205,1.152,0.545,0.316,0.350,88.416,6.600,3.88,94.18,13.1,1737.19,394.81,911.34,1032.78,187.17,93.42,280.58,0.413,92.712,3.987,95.417,1.322,0.768,2.283,0.141,0.021,0.008,0.002,1014.719,5%,0%,0%,0%,0%,0%,1%,0%,34%,24%,0%,36%,0%,10%,0%,0%,0%,0%,57%,33%,0%,0%
Oct-15,1,49.44,50.56,66.681,0.369,0.005,2.366,0.019,0.851,0.706,0.511,0.300,0.383,89.203,6.742,3.62,94.28,13.2,1745.47,398.89,915.17,1078.03,163.21,92.07,255.27,0.396,97.276,4.556,94.470,0.207,0.998,4.166,0.109,0.016,0.000,0.008,1037.183,0%,18%,0%,0%,0%,0%,82%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
Ene-20,3,45.94,54.06,65.716,0.535,0.005,3.083,0.013,1.124,0.890,0.505,0.290,0.336,89.762,6.242,3.75,94.81,13.3,1639.68,381.37,909.23,1078.36,166.98,92.81,259.80,0.392,104.279,4.138,94.222,0.625,0.758,4.196,0.151,0.015,0.000,0.007,1036.145,2%,0%,0%,0%,0%,0%,8%,0%,15%,0%,70%,0%,4%,82%,8%,0%,0%,0%,0%,0%,0%,10%
Sep-15,1,29.28,70.72,66.725,0.393,0.004,2.342,0.014,0.852,0.667,0.507,0.285,0.371,87.853,6.591,3.30,94.31,13.4,1626.35,393.88,911.07,1039.64,162.88,94.04,256.92,0.402,102.743,4.668,93.696,0.185,1.174,4.749,0.137,0.019,0.001,0.012,1040.785,0%,18%,20%,0%,0%,33%,24%,0%,0%,0%,0%,0%,4%,0%,0%,0%,100%,0%,0%,0%,0%,0%
Jul-14,1,30.00,70.00,66.649,0.378,0.003,2.768,0.024,0.725,0.600,0.446,0.217,0.298,92.260,6.783,3.60,94.57,13.6,1552.49,377.65,914.24,1084.97,163.59,85.37,248.96,0.384,107.601,4.071,93.783,0.233,1.163,4.799,0.014,0.000,0.000,0.000,1037.473,0%,19%,34%,0%,0%,0%,0%,47%,0%,0%,0%,0%,0%,0%,0%,0%,60%,0%,0%,0%,40%,0%
Ene-17,2,56.80,43.20,66.622,0.311,0.004,2.418,0.018,0.781,0.803,0.531,0.332,0.421,90.499,7.246,3.83,94.63,13.7,1698.59,398.77,908.85,1085.05,183.92,89.93,273.86,0.394,104.364,3.991,95.001,0.214,0.916,3.717,0.109,0.015,0.000,0.003,1034.268,0%,0%,0%,0%,0%,0%,8%,0%,0%,0%,81%,0%,11%,62%,0%,0%,38%,0%,0%,0%,0%,0%
